Date,Open,High,Low,Adjusted Close,Volume
18-Nov-14,114.86,115.17,114.55,115.05,5526813
17-Nov-14,113.97,114.27,113.56,114.05,5440990
14-Nov-14,110.76,114.72,110.65,114.47,14173586
13-Nov-14,111.89,112.26,111.22,111.67,4874598
12-Nov-14,112.05,112.17,111.23,111.5,5133300
11-Nov-14,111.08,112.76,110.87,112.04,8603165
10-Nov-14,112.24,112.24,110.28,110.46,8548523
7-Nov-14,110.78,113.15,110.73,112.97,10916540
6-Nov-14,109.92,110.49,109.75,109.88,7019854
5-Nov-14,109.92,110.84,109.67,109.79,13560114
4-Nov-14,112.12,112.71,112.08,112.22,6430111
3-Nov-14,112.39,112.68,112,112.15,6605175
31-Oct-14,111.83,112.88,111.66,112.66,18209615
30-Oct-14,115.8,115.83,114.94,115.19,7852239
29-Oct-14,117.65,117.91,116.14,116.41,7900772
28-Oct-14,118.48,118.48,118.01,118.1,3262626
27-Oct-14,118.18,118.37,118.01,118.06,2445376
24-Oct-14,118.62,118.63,118.12,118.35,3611311
23-Oct-14,118.71,118.82,117.88,118.52,6423205
22-Oct-14,119.69,119.79,119.25,119.34,3741487
21-Oct-14,120.27,120.5,119.9,120.02,4568269
20-Oct-14,119.68,119.86,119.54,119.8,3034916
17-Oct-14,119.06,119.23,118.42,118.99,8060834
16-Oct-14,119.02,119.65,118.88,119.22,6550140
15-Oct-14,119.23,120.18,118.59,118.99,9460425
14-Oct-14,118.58,118.82,118.35,118.59,5180665
13-Oct-14,118.14,118.66,117.93,118.52,5397633
10-Oct-14,117.7,117.74,117.19,117.59,4653307
9-Oct-14,117.86,118.26,117.49,117.64,6612637
8-Oct-14,117.03,117.71,115.85,117.47,10675551
7-Oct-14,116.31,116.63,116.09,116.36,5278476
6-Oct-14,115.16,116.31,114.94,116.03,7647060
3-Oct-14,115.17,115.51,114.42,114.61,11304593
2-Oct-14,116.86,117.21,116.33,116.74,6352009
1-Oct-14,116.61,117.26,116.59,116.77,7024201
30-Sep-14,116.54,117.35,115.85,116.21,10174560
29-Sep-14,117.27,117.4,116.9,117.03,4051047
26-Sep-14,117.02,117.1,116.58,117.06,4185425
25-Sep-14,116.3,117.76,116.2,117.39,7640357
24-Sep-14,117.12,117.72,116.9,117.05,5518416
23-Sep-14,117.99,117.99,117.31,117.6,4667327
22-Sep-14,116.72,117.37,116.58,116.85,7602075
19-Sep-14,117.51,117.57,116.72,117.09,10931243
18-Sep-14,117.41,118.09,117.19,117.78,5368874
17-Sep-14,118.95,119.24,117.5,117.54,8328712
16-Sep-14,118.85,119.43,118.44,118.83,6544481
15-Sep-14,118.79,118.86,118.46,118.64,4778579
12-Sep-14,118.63,118.9,118.07,118.38,8129457
11-Sep-14,119.61,119.7,118.77,119.47,7618266
10-Sep-14,120.13,120.54,119.64,120.26,7022579
9-Sep-14,120.57,120.94,120,120.87,6157321
8-Sep-14,121.58,121.61,120.37,120.73,7508620
5-Sep-14,121.83,122.06,121.63,122.06,3490704
4-Sep-14,122.48,122.66,121.25,121.48,7310640
3-Sep-14,121.7,122.2,121.66,122.15,3415925
2-Sep-14,121.97,122.08,121.43,121.65,10128581
29-Aug-14,123.75,124.22,123.62,123.86,3684122
28-Aug-14,124.15,124.33,123.81,124,3297757
27-Aug-14,123.6,123.71,123.25,123.32,2576944
